Order Number,Package,Name,Execution_Type,Priority,Status,Type,Created By,Created At,Last Updated At,Objective,Description,Notes,Pre Condition,Post Condition,Step Number,Step Description,Step Expected Result,Test_Script_Entry,Test_Script_Expected_Result
"","","","","","","","","","","","","","","",2,"a click on the clock must display a menu","a popup menu is displayed","",""
"","","","","","","","","","","","","","","",3,"check menu","the menu must contain a calendar on the left with current day hightlighted","",""
"","","","","","","","","","","","","","","",4,"check menu","the menu must contain 3 shortcuts (""Open Calendar"",""Open clocks"",""Date & Time settings"") at the bottom","",""
"","","","","","","","","","","","","","","",5,"check menu","the right side must contain the reminders for the current day and the next day","",""
6,"IvyBridge|Q2_13|A0-home_screen|10-layout|10-topbar","06-system_area","Manual","P1","Designed","Functional positive","sdx","2013-03-08","2013-03-08","top bar has a system area","The system area must be located on the right of the top bar, just before the user menu button
Multiple icons must be present in this area: Network connectivity, Sound, Bluetooth, Accessibility, Battery","","","",1,"observe the right side of the topbar","a system area must be present with multiple applets icons","",0
"","","","","","","","","","","","","","","",2,"check icons","Network connectivity icon must be present","",""
"","","","","","","","","","","","","","","",3,"check icons","Sound icon must be present","",""
"","","","","","","","","","","","","","","",4,"check icons","Bluetooth icon must be present","",""
"","","","","","","","","","","","","","","",5,"check icons","Accessibility icon must be present","",""
"","","","","","","","","","","","","","","",6,"check icons","Battery icon must be present","",""
7,"IvyBridge|Q2_13|A0-home_screen|10-layout|10-topbar","07-user_menu","Manual","P1","Designed","Functional positive","sdx","2013-03-08","2013-03-08","top bar has a user menu button","The user menu button must be located at the right of the top bar.
A left click on the button should open the user menu, containing the following shortcuts:
- notification (switch)
- user settings
- switch user
- log out
- lock
- power off","","","",1,"observe the right side of the topbar","a user menu button must be displayed","",0
"","","","","","","","","","","","","","","",2,"check user menu button","the login name is correct","",""
"","","","","","","","","","","","","","","",3,"check user menu button","an icon must appear, representing user visibility (online, offline, away ...)","",""
"","","","","","","","","","","","","","","",4,"click on user menu button","a pop up menu must appear","",""
"","","","","","","","","","","","","","","",5,"check user menu","must contain the user photo (avatar)","",""
"","","","","","","","","","","","","","","",6,"check user menu","must display the login name","",""
"","","","","","","","","","","","","","","",7,"check user menu","must contain the user status (online, offline ...)","",""
"","","","","","","","","","","","","","","",8,"check user menu","must contain a notification switch","",""
"","","","","","","","","","","","","","","",9,"check user menu","must contain the ""Settings"" item","",""
"","","","","","","","","","","","","","","",10,"check user menu","must contain the ""Switch user"" item","",""
"","","","","","","","","","","","","","","",11,"check user menu","must contain the ""Log out"" item","",""
"","","","","","","","","","","","","","","",12,"check user menu","must contain the ""Power off"" item","",""
8,"IvyBridge|Q2_13|A0-home_screen|10-layout|20-windowing_area","01-appearance","Manual","P1","Designed","Functional positive","sdx","2013-03-08","2013-03-08","Check windowing area appearance","The windowing area occupies all the screen under the top bar.
A message tray bar may appear at the bottom for notifications. By default, it shouldn't be visible.","","","",1,"check the visual aspect","the windowing area must be present with proper background","",0
"","","","","","","","","","","","","","","",2,"check the visual aspect","the message tray must be hidden","",""
9,"IvyBridge|Q2_13|A0-home_screen|10-layout|20-windowing_area","02-no-action","Manual","P1","Designed","Functional negative","sdx","2013-03-08","2013-03-08","Clicking on an empty zone in the window area shouldn't produce anything","Clicking anywhere in the window area with right/middle/left mouse buttons shouldn't produce anything (no popup, no action ...)","","","",1,"click anywhere on background with left mouse button","must do nothing","",0
"","","","","","","","","","","","","","","",2,"double click anywhere on background with left mouse button","must do nothing","",""
"","","","","","","","","","","","","","","",3,"click anywhere on background with middle mouse button","must do nothing","",""
"","","","","","","","","","","","","","","",4,"double click anywhere on background with middle mouse button","must do nothing","",""
"","","","","","","","","","","","","","","",5,"click anywhere on background with right mouse button","must do nothing","",""
"","","","","","","","","","","","","","","",6,"double click anywhere on background with right mouse button","must do nothing","",""
"","","","","","","","","","","","","","","",7,"tap anywhere on background (if touchscreen supported)","must do nothing","",""
"","","","","","","","","","","","","","","",8,"double tap anywhere on background (if touchscreen supported)","must do nothing","",""
10,"IvyBridge|Q2_13|A0-home_screen|10-layout|20-windowing_area","03-window_titlebars_theme","Manual","P1","Designed","Functional positive","sdx","2013-03-08","2013-03-08","Windows in the windowing area must follow the visual design specifications","Active windows have a blue close box with a diagonal cut (TODO: specs needed)
Title bars have a different image than the current theme (more cream-colored, with a vertical gradient, and with a hard bottom edge, as compared to the current theme) 
See the visual design specification for more details (TODO: references to be added)","","","",1,"click on topbar>applications, open xterm","the xterm window must appear","",0
"","","","","","","","","","","","","","","",2,"check the xterm window bar","a close button must be present on the right side","",""
"","","","","","","","","","","","","","","",3,"check the xterm window bar","the window bar must have the ""xterm"" title","",""
"","","","","","","","","","","","","","","",4,"check the xterm window bar","the bar design must conform to colors and themes specifications","",""
11,"IvyBridge|Q2_13|A0-home_screen|10-layout|30-message_tray","01-appearance","Manual","P1","Designed","Functional positive","sdx","2013-03-08","2013-03-08","The message tray must follow the same functionnalities as current Gnome","TODO: find reference in Gnome documentation on message tray behaviour","","","",1,"open a xterm window and run the following command at the shell prompt: notify-send ""Foo"" ""Bar""","a notification must appear in the message tray","",0
12,"IvyBridge|Q2_13|A0-home_screen|10-layout|40-grid_system","01-tile_size","Manual","P1","Designed","Functional positive","sdx","2013-03-15","2013-03-15","Tiles in grid must conform to specifications","Each tile must match the dimensions 96x86 pixels, with 5 pixels padding","suggestion: make a screen capture (PrtScr key), copy and load the snapshot into gimp or another image viewer and then check dimensions.","","",1,"drag a widget or a favourite app but don't release the mouse button","the grid should appear","",0
"","","","","","","","","","","","","","","",2,"count the number of rows and columns","there should be (floor(DW/101)) columns and (floor((DH-27)/91)) rows (for 1366x768, this gives 13 cols and 8 rows","",""
13,"IvyBridge|Q2_13|A0-home_screen|10-layout|40-grid_system","02-screen_padding","Manual","P1","Designed","Functional positive","sdx","2013-03-15","2013-03-15","Screen padding must conform to specifications","The width on left or right of the grid should not exceed 96 pixels (otherwise, another column must be added)
The height on top or bottom of the grid should not exceed 86 pixels (otherwise, another row must be added)","suggestion: make a screen capture (PrtScr key), copy and load the snapshot into gimp or another image viewer and then check dimensions.","","",1,"drag a widget or a favourite app but don't release the mouse button","the grid should appear","",0
"","","","","","","","","","","","","","","",2,"check that the borders of the grid","the margin width on left and right must be less than 96px/2 = 48px","",""
"","","","","","","","","","","","","","","",3,"check that the borders of the grid","the margin height at bottom and top must be less than 86px/2 = 43px","",""
14,"IvyBridge|Q2_13|A0-home_screen|10-layout|40-grid_system","03-dynamic_tiles","Manual","P1","Designed","Functional positive","sdx","2013-03-15","2013-03-15","Changing the screen resolution should resize the grid accordingly","changing the screen resolution should add or remove rows and columns to the grid system.

Minimum screen resolution is: 1280x720.
Maximum screen resolution is: 1920x1080","suggestion: make a screen capture (PrtScr key), copy and load the snapshot into gimp or another image viewer and then check dimensions. - Bugs: TZPC-921 TZPC-922 TZPC-923 TZPC-924 TZPC-925","","",1,"open the display settings from the user menu","-","",0
"","","","","","","","","","","","","","","",2,"change the resolution within the supported range [1280x720 - 1920x1080]","the grid is adjusted to the new screen size","",""
15,"IvyBridge|Q2_13|A0-home_screen|10-layout|50-desktop_icons","01-app_icon","Manual","P1","Designed","Functional positive","sdx","2013-03-15","2013-03-15","An application icon must occupy one tile","The tile should display the application icon ant its name","","","",1,"check a favourite application tile","the icon and name must be displayed","",0
16,"IvyBridge|Q2_13|A0-home_screen|10-layout|50-desktop_icons","02-app_icon_actions","Manual","P1","Designed","Functional positive","sdx","2013-03-15","2013-03-15","Right click on app icon should pop a menu","A right click on any application icon should open a popup menu, extending on 2 tiles near the application icon (on left or right, depending on the tile position) (TODO: please confirm)
The popup menu contains the following items:
- Open Application
- Remove from home
- Show settings (opens home settings)","","","",1,"right-click on a favourite application tile","a popup menu should open with all the items listed in description","",0
"","","","","","","","","","","","","","","",2,"select ""open Application""","the application must be launched","",""
"","","","","","","","","","","","","","","",3,"close the application","-","",""
"","","","","","","","","","","","","","","",4,"right-click on a favourite aplication tile","the popup menu appears","",""
"","","","","","","","","","","","","","","",5,"select ""show settings""","the homescreen settings panel must appear on screen (close it)","",""
"","","","","","","","","","","","","","","",6,"close the homescreen settings panel","-","",""
"","","","","","","","","","","","","","","",7,"right-click on a favourite application tile","the popup menu appears","",""
"","","","","","","","","","","","","","","",8,"select ""remove from home""","the favourite application tile must disappear from the desktop","",""
17,"IvyBridge|Q2_13|A0-home_screen|10-layout|50-desktop_icons","03-app_icon_size","Manual","P1","Designed","Functional positive","sdx","2013-03-15","2013-03-15","Check application icon dimensions","An application icon must fit into a tile, without overlap on the application name.

An application icon should have a dimension of WxH (TODO: what is W and H ? 48x48 ?)","suggestion: make a screen capture (PrtScr key), copy and load the snapshot into gimp or another image viewer and then check dimensions.","","",1,"observe tha favorite applications tiles on desktop","they must all match the description","",0
18,"IvyBridge|Q2_13|A0-home_screen|10-layout|60-pagination","01-multiple_desktop_grids","Manual","P2","Designed","Functional positive","sdx","2013-03-21","2013-03-21","Check that pagination works","The user can click and go to the next / previous screen (desktop) if the user has setup more
than 1 home screen","To be done in phase 2","","",1,"click on next desktop arrow","the display must switch to next desktop","",0
"","","","","","","","","","","","","","","",2,"click on previous desktop arrow","the display must switch to initial desktop","",""
19,"IvyBridge|Q2_13|A0-home_screen|10-layout|70-application_mode","01-top_bar_app_button","Manual","P1","Designed","Functional positive","sdx","2013-03-21","2013-03-21","Check that top bar Applications button switches the desktop to Application mode","Clicking on the status bar button ""Applications"" must toggle the windowing area in Application mode.","","","",1,"click on ""Applications"" button in top bar","display has switched to application mode","",0
20,"IvyBridge|Q2_13|A0-home_screen|10-layout|70-application_mode","02-zones","Manual","P1","Designed","Functional positive","sdx","2013-03-21","2013-03-21","The Application mode must follow the design guidelines","The application mode screen must contain:
- a search sidebar on the left, with search field and categories (width is 2 tiles)
- a zone at the bottom for displaying current applications (scrollable, each application takes 2x2 tiles)
- a zone showing the applications found (the rest of the tiles on top left)
See Design document, page 10","","","",1,"click on ""Applications"" button in top bar","search sidebar must be present on the left","",0
"","","","","","","","","","","","","","","",2,"-","current applications bar is present at the bottom","",""
"","","","","","","","","","","","","","","",3,"-","applications search results is present on top right","",""
21,"IvyBridge|Q2_13|A0-home_screen|10-layout|70-application_mode","03-filters","Manual","P1","Designed","Functional positive","sdx","2013-03-21","2013-03-21","Check application filters / category list appearance","The search zone must contain:
- a smart filter field on the top to type application name patterns
- below a list of categories, with radio buttons
- special categories ""Most used"",""Recently downloaded"" and ""Running Applications"" should be displayed at the bottom of the list with a separator","","","",1,"check the left sidebar","must contain the elements defined in the description","",0
22,"IvyBridge|Q2_13|A0-home_screen|10-layout|70-application_mode","04-app_icons","Manual","P1","Designed","Functional positive","sdx","2013-03-21","2013-03-21","Check applications icons appearance","The matching applications must be displayed in the result zone.

Applications icons and names must appear as they do on desktop (icon must have a size of 48x48 and application names must be shown below icon). Each application occupies 1 tile exactly.","","","",1,"check the applications result area","icons are properly displayed (correct size), with names under the icon (readable)","",0
23,"IvyBridge|Q2_13|A0-home_screen|10-layout|70-application_mode","05-app_icons_pagination","Manual","P1","Designed","Functional positive","sdx","2013-03-21","2013-03-21","Check that pagination works","If the applications view requires more than 1 screen to display the applications, two arrows must appear in the top border to allow pagination.","","","",1,"select all applications (on search sidebar, select categories","""all"" ) => all applications must appear in the results area and 2 arrows for pagination must be created to browse the result pages","",0
24,"IvyBridge|Q2_13|A0-home_screen|10-layout|80-app-switcher","01-appearance","Manual","P3","Designed","Functional positive","sdx","2013-03-21","2013-03-21","Check the appearance of application switcher (Alt+Tab)","The application switcher must be presented as a screen overlay when typing the Alt+tab keyboard shortcut.","","","",1,"type and maintain the Alt key then type and release the Tab key","the application switcher must appear on screen and conform to design guidelines","",0
"","","","","","","","","","","","","","","",2,"release the Alt key","the application switcher must disappear","",""
25,"IvyBridge|Q2_13|A0-home_screen|10-layout|80-app-switcher","02-position","Manual","P3","Designed","Functional positive","sdx","2013-03-21","2013-03-21","Check the position of application switcher (Alt+Tab)","The application switcher overlay must be centered vertically and horizontally on the primary monitor","","","",1,"type and maintain the Alt key then type and release the Tab key","the application switcher appears and is centered on the primary monitor","",0
26,"IvyBridge|Q2_13|A0-home_screen|10-layout|80-app-switcher","03-shown_apps","Manual","P3","Designed","Functional positive","sdx","2013-03-21","2013-03-21","Check the content of application switcher (Alt+Tab)","The application switcher must show all active windows / applications","","","",1,"launch 1 application and type Alt+Tab","the app switcher appears and shows only 1 app","",0
"","","","","","","","","","","","","","","",2,"release Alt+tab","app switcher disappears","",""
"","","","","","","","","","","","","","","",3,"launch a second application and type Alt+Tab","app switcher appears and shows 2 apps, typing tab switches between the applications, releasing activates the selected application (app window is in foreground and has focus)","",""
"","","","","","","","","","","","","","","",4,"launch a third application and type Alt+tab","app switcher appears and show 3 apps, typing tab repeatedly cycles through applications, releasing Alt activates the selected application (app window is in foreground and has focus)","",""
27,"IvyBridge|Q2_13|A0-home_screen|10-layout|80-app-switcher","04-ordering","Manual","P3","Designed","Functional positive","sdx","2013-03-21","2013-03-21","Check the apps order in application switcher (Alt+Tab)","The application switcher must show the applications order by time of last use (last used on left) (TODO: to be confirmed)","","","",1,"type Alt+Tab","the switcher appears and show the applications in chronological order","",0
28,"IvyBridge|Q2_13|A0-home_screen|10-layout|80-app-switcher","05-overflow","Manual","P3","Designed","Functional positive","sdx","2013-03-21","2013-03-21","Check the overflow behaviour in application switcher (Alt+Tab)","In the Application switcher overlay, if more windows are active than can fit in a row then another row is added, the first row is moved to the top the of the screen grid","","","",1,"type Alt+Tab","the switcher must appear and display the applications on 2 rows","",0
29,"IvyBridge|Q2_13|A0-home_screen|10-layout|90-settings_mode","01-appearance","Manual","P1","Designed","Functional positive","root","2013-03-21","2013-03-21","Check the Home screen settings appearance","The home screen settings window must contain 5 items in the toolbar:
- an icon to go back to system settings menu
- ""Applications"" tab
- ""Widgets"" tab
- ""Recent files"" tab
- ""Background"" tab (implemented in phase 2, actually only vanilla background settings is used)","","","",1,"open user settings in top bar","gnome control center opens","",0
"","","","","","","","","","","","","","","",2,"click ""Homescreen"" icon","Homescreen settings panel opens","",""
"","","","","","","","","","","","","","","",3,"check the tabs","the tabs must match the above description","",""
30,"IvyBridge|Q2_13|A0-home_screen|10-layout|A0-favorite_apps","01-display","Manual","P1","Designed","Functional positive","root","2013-03-21","2013-03-21","Check that a favorite app is displayed","The desktop grid should contain a zone where favorite applications are displayed","","","",1,"check the display","the favourite applications must be present on the desktop","",0
31,"IvyBridge|Q2_13|A0-home_screen|10-layout|B0-widgets","01-appearance","Manual","P1","Designed","Functional positive","root","2013-03-21","2013-03-21","Check widget layout","Any widget can be laid on the desktop grid with the following restrictions:
- a web widget canvas must occupy 4 tiles (2 x 2 = 202 x 182 pixels) (TODO: what are the min/max sizes for a widget ? maybe more than 2x2 widgets are allowed, but probably not 1x2 or 2x1 or 1x1)
- a web widget must contain an icon on top right corner to access to info and/or settings","","","",1,"check the desktop","the widget(s) must be aligned on the grid and must contain a settings button in the top right corner","",0
32,"IvyBridge|Q2_13|A0-home_screen|10-layout|B0-widgets","02-position_saved","Manual","P1","Designed","Functional positive","root","2013-03-21","2013-03-21","Check that a widget's position and size are saved","When a widget is moved, the new position must be retained across reboots/restarts","","","",1,"move a widget to a new position","the widget is moved","",0
"","","","","","","","","","","","","","","",2,"logout","-","",""
"","","","","","","","","","","","","","","",3,"login with same user","the widget must retain its previous position","",""
33,"IvyBridge|Q2_13|A0-home_screen|20-defaultstate","01-topbar","Manual","P1","Designed","Functional positive","root","2013-03-21","2013-03-21","Home must be selected by default in top bar","Check that Home screen is the default layout. The icon ""Home"" must be highlighted by default.","","","",1,"after login in gdm (or autologin), check the screen","the Home screen us the default layout, The ""Home"" button in the top bar is highlighted","",0
34,"IvyBridge|Q2_13|A0-home_screen|20-defaultstate","02-recent_files","Manual","P3","Designed","Functional positive","root","2013-03-21","2013-03-21","Recent files zone is present","Check that the ""Recent files"" zone is present on Home screen. 

This zone must occupy 2 tiles vertically (1x2)","","","",1,"check the home screen","the recent used files must be displayed","",0
35,"IvyBridge|Q2_13|A0-home_screen|20-defaultstate","03-widgets","Manual","P3","Designed","Functional positive","root","2013-03-21","2013-03-21","Default widgets must be present","If any, default widgets must be present on home screen. (TODO: does the weather widget must be present, by default ?)","","","",1,"check the home screen","the default widgets must be displayed","",0
36,"IvyBridge|Q2_13|A0-home_screen|30-organise|10-apps","01-noaction","Manual","P2","Designed","Functional positive","root","2013-03-21","2013-03-21","Check that positioning the pointer over an Application icon does nothing","When the mouse pointer is simply laid over an application tile (icon+name on grid) without any click, nothing must happen (cursor is not changed, app icon is not highlighted).","","","",1,"move the mouse pointer over an application tile","nothing must happen","",0
37,"IvyBridge|Q2_13|A0-home_screen|30-organise|10-apps","02-singleclick","Manual","P2","Designed","Functional positive","root","2013-03-21","2013-03-21","Check that a single click highlights the application idon","A single click over an icon must not change the mouse cursor. 
The application icon must be in highlighted state after this action.","","","",1,"move the mouse pointer over an application tile then single click on the icon","icon must be highlighed","",0
38,"IvyBridge|Q2_13|A0-home_screen|30-organise|10-apps","03-doubleclick","Manual","P2","Designed","Functional positive","root","2013-03-21","2013-03-21","Check that a double click launches the application","A double click over an icon must launch the application.

(TODO: what about highlighting in this case ?)","","","",1,"double click on a favourite icon on desktop","application is launched","",0
39,"IvyBridge|Q2_13|A0-home_screen|30-organise|10-apps","04-clickmove","Manual","P2","Designed","Functional positive","root","2013-03-21","2013-03-21","Check that a hold single click then a drag moves the application icon","When a single click is done and hold on an applictaion icon then the cursor should change to ""grab state"" (TODO: to be determined. Could be a small hand)
The application icon should be highlighted in this state.
Then moving the pointer while holding the mouse button down should drag the icon on screen.","","","",1,"click on a favourite application icon on the desktop and drag the icon (click and hold left mouse button)","the icon moves on the desktop, following the cursor pointer moves","",0
40,"IvyBridge|Q2_13|A0-home_screen|30-organise|10-apps","05-clickmoverelease","Manual","P2","Designed","Functional positive","root","2013-03-21","2013-03-21","Check that an icon position can be changed","After dragging an icon to a new position and releasing the mouse button, the icon should occupy the nearest tile with the following rules:
- to occupy a tile, the icon must overlap more than 50% of its final position in the target tile at release time.
- if the icon overlaps less than 50% of the target zone, then it must slide back to its original position
- if the move is not possible (tile already occupied, or no tile), then the icon must slide back to its original position","","","",1,"click on a favourite application icon on the desktop and drag the icon (click and hold left mouse button) then release the button","the app icon must have moved to its final destination","",0
41,"IvyBridge|Q2_13|A0-home_screen|30-organise|20-widgets","01-noaction","Manual","P2","Designed","Functional positive","sdx","2013-03-25","2013-03-25","Check that positioning the pointer over a Widget does nothing","When the mouse pointer is laid over a widget on desktop without any click, nothing must happen (cursor is not changed, widget is not highlighted).","","","",1,"move the mouse pointer over a widget","nothing must change","",0
42,"IvyBridge|Q2_13|A0-home_screen|30-organise|20-widgets","02-singleclick","Manual","P2","Designed","Functional positive","sdx","2013-03-25","2013-03-25","Check that a single click highlights the widget tiles","A single click over a widget must not change the mouse cursor. 
The widget tiles must be in highlighted state after this action.","","","",1,"move the mouse pointer over a widget and click on left mouse button","the widget must be highlighted","",0
43,"IvyBridge|Q2_13|A0-home_screen|30-organise|20-widgets","03-doubleclick","Manual","P2","Designed","Functional positive","sdx","2013-03-25","2013-03-25","Check that a double click launches the browser","A double click over a widget must launch the browser.

The browser should open a specific page, which is associated to the widget. TODO: to be confirmed","","","",1,"double click on a widget","this must launch the web browser and open the appropriate web site (depends on the widget)","",0
44,"IvyBridge|Q2_13|A0-home_screen|30-organise|20-widgets","04-clickmove","Manual","P2","Designed","Functional positive","sdx","2013-03-25","2013-03-25","Check that a hold single click then a drag moves the widget","When a single click is done and hold on a widget, then the cursor should change to ""grab state"" (TODO: to be determined)
The widget tiles should be highlighted in this state.
Then moving the pointer while holding the mouse button down should drag the widget on screen.","","","",1,"click on a widget with left mouse button and hold, then move the mouse","the mouse cursor must change to grab mode, the widget tiles must be highlighted and moving the pointer must move the widget","",0
45,"IvyBridge|Q2_13|A0-home_screen|30-organise|20-widgets","05-clickmoverelease","Manual","P2","Designed","Functional positive","sdx","2013-03-25","2013-03-25","Check that a widget position can be changed","After dragging a widget to a new position and releasing the mouse button, the widget should occupy the nearest tiles with the following rules:
- to occupy a group of tiles, the widget must overlap more than 50% of its final position in the target tile at release time.
- if the widget overlaps less than 50% of the target zone, then it must slide back to its original position
- if the move is not possible (tiles already occupied, or no tile), then the widget must slide back to its original position","","","",1,"move the mouse pointer over a wiget, click and hold the left mouse button, move the mouse","the widget must move with the pointer","",0
"","","","","","","","","","","","","","","",2,"release the left mouse button","the widget position must change according to the description","",""
46,"IvyBridge|Q2_13|A0-home_screen|40-appmode|10-categories","01-radio_buttons","Manual","P2","Designed","Functional positive","sdx","2013-03-11","2013-03-25","Selecting a category triggers a search and displays results","When clicking on a category, the filtered applications must be displayed in the results area.","","","",1,"click on a category on the left (for example ""Games"")","the result area must be populated with appropriate applications (ex: Chess, Mines, Sudoku ...)","",0
47,"IvyBridge|Q2_13|A0-home_screen|40-appmode|10-categories","02-category_clears_search","Manual","P2","Designed","Functional positive","sdx","2013-03-25","2013-03-25","Selecting a category must clear the search field","When selecting a a category, the search filter should be cleared to display all the applications in the choosen category

TODO: must be confirmed, not clearly stated in design document","","","",1,"fill the search field with a few characters","the result are a is updated","",0
"","","","","","","","","","","","","","","",2,"click on a category (ex: Games)","the filter must be cleared and all applications within the category must be displayed","",""
48,"IvyBridge|Q2_13|A0-home_screen|40-appmode|10-categories","05-category_runningapps","Manual","P2","Designed","Functional positive","sdx","2013-03-25","2013-03-25","Check that ""Running apps"" category is working","The special category ""Running applications"" must be visible in the category list. 

Selecting this category must list the appropriate applications in the results area.","","","",1,"click on the ""Running Applications"" category","the currently executing apps must be displayed in the result area","",0
49,"IvyBridge|Q2_13|A0-home_screen|40-appmode|20-search","01-type_pattern","Manual","P2","Designed","Functional positive","sdx","2013-03-25","2013-03-25","Entering a search pattern in search fields triggers a search and displays results","When typing characters into the search filter input field, each added character must trigger a search and must lead to displayed results in the right area.","","","",1,"type a pattern in the search filter input field (ex: 'term')","the matching applications (name matches) must be displayed in the result area (ex: 'Terminal' and 'XTerm')","",0
"","","","","","","","","","","","","","","",2,"type another pattern which is not linked to app name (ex: 'cam')","the matching applications (description matches) must be displayed (ex: 'Shotweel' and 'Cheese')","",""
50,"IvyBridge|Q2_13|A0-home_screen|40-appmode|20-search","02-result_type","Manual","P2","Designed","Functional positive","sdx","2013-03-25","2013-03-25","Only applications must be displayed in the results","On the contrary of the default Gnome behaviour, only applications must be displayed in the result area: contacts, documents etc shouldn't appear.

TODO: to be confirmed","","","",1,"type a search pattern (ex: 'tu')","only applications must be listed in the result area (ex: only 'Shotwell','Bluetooth' and 'Power', not the contact 'kooltux')","",0
51,"IvyBridge|Q2_13|A0-home_screen|40-appmode|30-pagination","01-arrows","Manual","P1","Designed","Functional positive","sdx","2013-03-26","2013-03-27","Check that arrows allow navigation through pages","When more pages are needed to display the applications, the two arrows on top must allow the user to switch from one page to another:
- a click on the left arrow must display the previous page
- a click on the right arrow must display the next page","","","",1,"select ""All"" categories","more than 1 page is needed to display the selected applications, two arrows must appear at the top of the result area, with left arrow disabled and right arrow clickable","",0
"","","","","","","","","","","","","","","",2,"click on right arrow","the next page must be displayed, the left arrow must become visible","",""
"","","","","","","","","","","","","","","",3,"click on left arrow","the previous page must be displayed","",""
52,"IvyBridge|Q2_13|A0-home_screen|40-appmode|30-pagination","02-arrows_disabled","Manual","P1","Designed","Functional positive","sdx","2013-03-26","2013-03-27","Check that arrows are disabled when needed","If the currently displayed page is the first one, the left arrow must be disabled (the arrow is dimmed and clicking on it does nothing)

If the currently displayed page is the last one, the right arrow must be disabled (the arrow is dimmed and clicking on it does nothing)","","","",1,"select ""All"" categories","initially, the left arrow must be disabled and the right arrow enabled","",0
"","","","","","","","","","","","","","","",2,"click on the right arrow","the next page must be displayed, the left arrow must become visible","",""
"","","","","","","","","","","","","","","",3,"click on the right arrow until having reached the last page","the right arrow must be disabled on last page","",""
"","","","","","","","","","","","","","","",4,"click on left arrow","the previous page must be displayed","",""
53,"IvyBridge|Q2_13|A0-home_screen|40-appmode|40-active_apps","01-display","Manual","P1","Designed","Functional positive","sdx","2013-03-26","2013-03-27","Check that active applications are displayed","The active applications must be displayed in the corresponding area at the bottom of the screen.","","","",1,"check the bottom of the screen","the currently running applications must be displayed; for each application, the icon, name and snapshot must be displayed","",0
54,"IvyBridge|Q2_13|A0-home_screen|40-appmode|40-active_apps","02-switch","Manual","P1","Designed","Functional positive","sdx","2013-03-26","2013-03-27","Check that selecting an item in the active apps area switches to the selected application","A single click on an active application item must switch to the selected application.","","","",1,"in the active applications area, click on an application icon","back on the desktop, the application must be activated and have focus","",0
55,"IvyBridge|Q2_13|A0-home_screen|40-appmode|40-active_apps","03-empty","Manual","P1","Designed","Functional negative","sdx","2013-03-26","2013-03-27","Check that the active applications zone is not displayed when no application is started","If there are no running applications, the active applications area must be hidden and the results area must be expanded.","","","",1,"check the active apps area","the active applications area must not be displayed","",0
56,"IvyBridge|Q2_13|A0-home_screen|40-appmode|40-active_apps","04-pagination_arrows","Manual","P1","Designed","Functional positive","sdx","2013-03-26","2013-03-27","Check that pagination arrows appear","If more active windows are running than can be displayed, the next/previous arrows must appear on the left of the active applications area.","","","",1,"check the active applications area","there must be two arrows on the left of the application area to switch from one row to another","",0
